RK,Team,Total Points,Previous Points,+/-,More
1,Spain,1887,1920,-33,
2,Netherlands,1723,1718,5,
3,Germany,1485,1489,-4,
4,Brazil,1446,1493,-47,
5,Argentina,1338,1353,-15,
6,England,1195,1250,-55,
7,Uruguay,1153,1174,-21,
8,Portugal,1090,1102,-12,
9,Egypt,1078,1047,31,
10,Croatia,1075,1098,-23,
11,Greece,1016,1043,-27,
12,Norway,995,1004,-9,
13,Russia,982,1003,-21,
14,Italy,965,995,-30,
15,Chile,950,929,21,
16,Ghana,908,903,5,
17,Slovenia,896,958,-62,
18,USA,867,847,20,
18,France,867,852,15,
20,Slovakia,854,866,-12,
21,Côte d'Ivoire,846,857,-11,
22,Switzerland,840,852,-12,
23,Serbia,837,828,9,
24,Paraguay,832,850,-18,
25,Montenegro,824,827,-3,
26,Australia,816,853,-37,
27,Mexico,795,790,5,
28,Denmark,790,812,-22,
29,Japan,776,781,-5,
30,Czech Republic,751,756,-5,
31,Turkey,741,788,-47,
32,Nigeria,725,711,14,
33,Sweden,712,703,9,
34,Ukraine,702,698,4,
35,Algeria,687,706,-19,
36,Republic of Ireland,681,730,-49,
37,Cameroon,670,656,14,
38,Belarus,660,648,12,
39,Gabon,648,673,-25,
40,Korea Republic,647,653,-6,
41,Burkina Faso,644,630,14,
42,Hungary,632,615,17,
43,Northern Ireland,615,627,-12,
44,Bosnia and Herzegovina,582,542,40,
45,Tunisia,578,600,-22,
46,Guinea,569,575,-6,
46,Austria,569,572,-3,
48,Colombia,558,575,-17,
49,Bulgaria,555,597,-42,
50,Israel,551,535,16,
51,South Africa,550,562,-12,
52,Scotland,542,537,5,
53,Botswana,535,470,65,
53,Ecuador,535,498,37,
55,Lithuania,532,576,-44,
56,Romania,531,538,-7,
57,Belgium,526,494,32,
58,Jamaica,522,413,109,
59,Honduras,516,522,-6,
60,Armenia,515,517,-2,
60,Venezuela,515,527,-12,
62,Cuba,512,353,159,
63,New Zealand,506,517,-11,
64,Panama,501,480,21,
65,Albania,497,520,-23,
66,IR Iran,496,480,16,
67,Mali,488,480,8,
68,Peru,486,538,-52,
69,Costa Rica,467,490,-23,
70,Senegal,464,443,21,
71,Benin,462,449,13,
72,Libya,451,414,37,
73,Poland,449,452,-3,
73,Georgia,449,422,27,
75,Cape Verde Islands,444,408,36,
76,FYR Macedonia,441,439,2,
76,Zambia,441,457,-16,
78,Latvia,440,446,-6,
79,Morocco,437,415,22,
80,Saudi Arabia,429,462,-33,
80,Uganda,429,457,-28,
82,Estonia,426,445,-19,
83,Finland,419,389,30,
84,Moldova,411,405,6,
84,Canada,411,403,8,
86,Malawi,396,423,-27,
87,China PR,389,382,7,
88,Angola,378,370,8,
89,Trinidad and Tobago,373,422,-49,
90,Haiti,367,335,32,
91,Cyprus,367,369,-2,
93,Bahrain,351,389,-38,
94,Grenada,349,375,-26,
94,Niger,349,324,25,
96,Mozambique,346,339,7,
97,Bolivia,344,337,7,
98,Azerbaijan,343,381,-38,
99,Oman,329,341,-12,
100,Iraq,325,339,-14,
100,Gambia,325,323,2,
102,Kuwait,317,316,1,
103,Togo,313,299,14,
104,Jordan,305,352,-47,
105,United Arab Emirates,301,318,-17,
106,Antigua and Barbuda,299,253,46,
107,Syria,296,282,14,
108,Korea DPR,292,299,-7,
109,Guyana,275,392,-117,
109,Uzbekistan,275,303,-28,
111,Central African Republic,263,263,-,
112,Iceland,261,275,-14,
112,Wales,261,273,-12,
112,Qatar,261,259,2,
115,Suriname,257,231,26,
116,Tanzania,256,225,31,
117,El Salvador,251,247,4,
118,Guatemala,247,217,30,
119,Zimbabwe,246,246,-,
120,Kenya,240,251,-11,
121,St. Kitts and Nevis,239,230,9,
121,Thailand,239,254,-15,
121,Congo,239,239,-,
124,Ethiopia,231,178,53,
125,Sierra Leone,224,219,5,
126,Yemen,213,231,-18,
127,Indonesia,212,172,40,
128,Burundi,202,171,31,
129,Dominica,196,201,-5,
130,Congo DR,190,196,-6,
131,Barbados,187,235,-48,
132,Rwanda,185,215,-30,
133,Puerto Rico,184,184,-,
134,Luxembourg,180,175,5,
135,Turkmenistan,173,173,-,
136,Faroe Islands,171,178,-7,
137,Vietnam,167,157,10,
138,Namibia,154,154,-,
138,Kazakhstan,155,170,-15,
140,Singapore,149,168,-19,
141,Chad,147,126,21,
142,St. Vincent / Grenadines,132,157,-25,
142,India,132,145,-13,
144,Malaysia,128,112,16,
145,Tajikistan,126,121,5,
146,Hong Kong,125,128,-3,
147,Guinea-Bissau,121,125,-4,
148,Liechtenstein,116,91,25,
149,Philippines,109,110,-1,
149,Myanmar,109,133,-24,
151,Netherlands Antilles,107,107,-,
152,Fiji,103,144,-41,
153,Chinese Taipei,102,102,-,
154,Lebanon,92,94,-2,
155,Madagascar,91,91,-,
156,New Caledonia,89,101,-12,
157,Cayman Islands,88,88,-,
158,Nicaragua,86,86,-,
159,Bangladesh,84,109,-25,
160,Swaziland,82,81,1,
160,Liberia,82,82,-,
162,Maldives,81,127,-46,
163,Sri Lanka,79,107,-28,
164,Malta,76,77,-1,
165,Equatorial Guinea,72,79,-7,
166,Cambodia,68,73,-5,
167,Vanuatu,67,64,3,
168,Dominican Republic,66,85,-19,
169,Laos,64,70,-6,
170,Lesotho,62,62,-,
171,Pakistan,56,79,-23,
172,Nepal,54,84,-30,
173,Belize,54,54,-,
174,Kyrgyz Republic,50,50,-,
175,Bermuda,49,63,-14,
176,British Virgin Islands,41,41,-,
177,Solomon Islands,40,40,-,
177,Eritrea,40,81,-41,
177,Palestine,40,40,-,
180,Mauritania,38,38,-,
181,St. Lucia,37,37,-,
182,Mongolia,32,32,-,
182,Somalia,32,39,-7,
184,Tahiti,31,31,-,
185,Samoa,26,26,-,
186,Comoros,24,24,-,
187,Turks and Caicos Islands,19,19,-,
188,Cook Islands,17,17,-,
188,Guam,17,17,-,
188,Tonga,17,17,-,
191,Djibouti,16,20,-4,
191,Mauritius,16,16,-,
193,Macau,14,12,2,
194,Bahamas,13,13,-,
195,Afghanistan,10,10,-,
195,Seychelles,10,10,-,
197,Bhutan,9,9,-,
197,Brunei Darussalam,9,9,-,
199,Aruba,7,7,-,
200,US Virgin Islands,5,5,-,
201,Timor-Leste,3,3,-,
202,Andorra,2,2,-,
203,Papua New Guinea,0,0,-,
203,Anguilla,0,0,-,
203,American Samoa,0,0,-,
203,San Marino,0,0,-,
203,Montserrat,0,0,-,
208,Sao Tome e Principe,0,0,-,
