Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2024-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,
Bangladesh,BGD,GNI (current US$),NY.GNP.MKTP.CD,,,,,,,,,,,,,,8108053514.97237,12522859678.6342,19439919254.1685,10105296949.4949,9608855565.61086,13238224497.3545,15535719093.2983,18156941569.7674,20590758873.929,18847155688.6228,18122979797.9798,19452920000,22655346153.8462,22202166666.6667,24866935483.871,27184294000.5034,29418568811.1258,32234055025.2854,31618548375.3501,32478635867.374,34069217830.6878,34824471356.6085,39096763694.0298,47649633251.8337,49613348946.1358,51415660792.9515,52841410149.7504,55101749155.2375,55629781319.4959,56908044576.0056,62584110535.4059,67925445897.7408,72555190158.6205,75845565181.0709,84719578987.6767,98690272514.7076,110599840698.057,124613273819.067,138790367232.112,144592845953.488,162063337092.967,184408667586.924,207815025528.633,277650510779.566,303873963379.664,334213982836.221,365618637911.704,389459167965.435,438182166819.553,478360553569.206,454873454272.724,
Bulgaria,BGR,GNI (current US$),NY.GNP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,19525307692.3077,19672285714.2857,19187533333.3333,16484500000,17556333333.3333,17092578947.3684,20117823529.4118,27786846153.8462,22134941176.4706,21351666666.6667,18995909090.9091,9832580645.16129,10180773195.8763,10639341885.9172,9504964944.64945,18559500379.6281,11898890319.244,10959229231.1159,14747553565.8088,13442625945.4753,12922579411.5223,14208346103.9187,16746547984.4485,21488758770.9831,26463249590.9807,29952160205.0144,33529451338.3532,41158999020.2939,51846141511.9245,50357535978.025,49698376601.3692,55929518183.7592,53568146883.006,54615902084.6065,56667245618.8018,49246152144.3159,52309213877.4124,58007241956.911,64219204758.1668,66934503462.8813,67958245050.5169,80703079760.537,87391116237.7517,98154828123.3095,
Bahrain,BHR,GNI (current US$),NY.GNP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,2864420270.62881,3440957446.80851,3634308510.6383,3746276595.74468,3793882978.7234,3281648936.17021,2655319148.93617,2995744414.89362,3271276595.74468,3503191489.3617,4451329787.23404,4807446808.51064,4783244680.85106,5006382978.7234,5325000265.95745,5790573404.25532,6076647606.38298,6113085372.34043,6021789095.74468,6350622872.34043,8839275265.95745,8654625797.87234,9068566223.40425,10581836436.1702,12575387234.0426,15556372074.4681,18119833244.6809,21431313829.7872,24787226861.7021,20538353191.4894,23340257978.7234,25012234042.5532,29741912500,31343603989.3617,31755112765.9574,29314738297.8723,30439494680.8511,33484122340.4255,35726063829.7872,36392679787.234,32162765159.5745,36760670212.766,42420297872.3404,40659787234.0426,
"Bahamas, The",BHS,GNI (current US$),NY.GNP.MKTP.CD,149607647.058824,167450784.313726,187058529.411765,209509509.803922,234999607.843137,264705882.352941,299509803.921569,343823529.411765,391960784.313725,465392156.862745,509458782.43513,542590600,559130400,634848200,662174500,819788700,566500000,629400000,704600000,1006200100,1200800000,1274600000,1446700000,1594300000,1876000000,2140099900,2288900000,2530699900,2651000000,2930400000,2993200000,2932160000,3026400000,2963600000,3121400000,3882158500,4421275600,6179760000,6635720000,7557070000,7936270000,8118930000,8696814900,8717670000,8913970000,9654135300,9949250000,10386740000,10448200000,9829760000,9860860000,9834450000,10441220000,10098220000,10537850000,11177080000,11189150000,11691200000,11780700000,12394020000,9425580000,10862560000,12467590000,13626662342.5965,
Bosnia and Herzegovina,BIH,GNI (current US$),NY.GNP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6411631508.82864,5063265306.12245,3915575425.43986,3002331372.53162,1090802469.1358,1624572953.73665,2564045321.63743,3443903887.76372,4925852604.01394,5414311183.98296,6096608725.96403,6281232076.35222,7158604493.37638,8903502503.27191,11099633687.3086,11690774974.8525,13256741831.038,16247592902.1842,19819060272.7989,18292268364.5254,17455986158.7009,18794204715.634,17361422536.9693,18421211485.5494,18710534545.2251,16514883084.2442,17139875880.799,18174627640.6011,20366478392.9849,20448097002.6662,20112988928.17,23371644756.9735,24250845360.0928,26985980898.7715,
Belarus,BLR,GNI (current US$),NY.GNP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9200000000,16433333333.3333,14931092436.9748,13964441887.2267,14772769230.7692,14110169491.5254,15213743767.6133,12149659045.3269,12684136546.1847,12311559712.2302,14564755544.6363,17850589634.7141,23122951403.9977,30265564438.9968,36847123885.5523,44864740363.8261,59964234225.8004,49759479064.1055,56069265840.9742,61079871266.8078,64215516438.9641,72875339440.6563,76448782777.9462,54061945285.662,45473302428.7243,52669765496.9979,57861187726.0003,62499831005.415,58875118002.111,67115938432.45,70849979924.603,69257282745.6066,
Belize,BLZ,GNI (current US$),NY.GNP.MKTP.CD,27931217.9312179,29756049.7560498,31702121.7021217,33588483.5884836,36024696.024696,39900039.9000399,44240044.2400442,47224132.3601296,43439913.1201738,45719908.5601829,51599896.8002064,56823643.5028187,63063434.3222429,74111095.5947385,92347598.6994185,105915564.001761,88692274.2020054,112050000,129500000,146500000,195988222.43,194189854.655,177306326.985,186603185.955,206681949.02,202743742.665,225438320.535,274982558.585,313893360.27,359433890.705,537586365.523175,585575697.04556,678675168.24559,731468765.327715,744032909.481095,793920320.228815,821801526.869645,847519665.17749,894398706.039735,956765718.694785,1081857660.62071,1101078473.94349,1172578390.09348,1213904010.75674,1277529840.60003,1353719706.19917,1458924803.22049,1540261498.91439,1566744314.0667,1590828548.43468,1600571045.44027,1721646638.17757,1779340199.8643,1902521884.18064,1987326306.25723,2099243409.24204,2129785692.97569,2141415667.08822,2136543785.62451,2223288626.10637,1989091710.06777,2346645179.3783,2698024125.68409,3170374615,
Bermuda,BMU,GNI (current US$),NY.GNP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6780700000,6474269000,6661617000,6764352000,6657829000,6893729000,7095783000,7435279000,7460410000,7524540000,7090229000,7597926000,8251538000,,
Bolivia,BOL,GNI (current US$),NY.GNP.MKTP.CD,,,,,,,,,,,,,,,,,2701834250,3161916450,3646143050,4324523616.65,4181951520,5404754240,5182590101.5625,5052570112.06897,5754435997.1301,5004377399.67138,3649842948.80533,4045923622.1622,4332811687.90278,4456873579.83834,4618982620.20708,5096262338.68661,5446168777.11339,5528799392.64957,5798722891.83223,6508561764.97425,7188749149.68869,7729236782.815,8335294701.59795,8088864460.3063,8172325473.0056,7930357003.12264,7700785216.17852,7780552284.60223,8388731804.43548,9172769524.9553,11054601174.7691,12630670333.1765,16137900474.4332,16666184074.0741,18760785455.5446,22977403393.5893,25455219536.903,28751567785.8177,31298228306.8017,31873100506.5123,33320230246.0203,36398995788.712,39311992850.9407,40059428639.6527,36212843806.0781,39377111693.1983,42734282879.8842,44844197818.8353,
Brazil,BRA,GNI (current US$),NY.GNP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448509000000,374726500000,334857954545.455,322000921658.986,359326075711.263,505178915093.488,758585921145.688,839052100885.484,868630505513.956,845870636449.1,581160921599.64,636572531229.792,541801958562.022,492692612459.479,540518533798,649516138898.964,865859665830.044,1079909521465.05,1367438603318.44,1654272075623.57,1630110011813.38,2140606260704.28,2548928943603.92,2403719409196.5,2438459283730.87,2410276964680.96,1768300112266.54,1757597118247.49,2024937440938.73,1863630987992.04,1822994396029.28,1445311140486.1,1618525125681.24,1895345889306.1,2110557039832.77,
